"RelativePath","Bytes","LastWriteTimeUtc"
"docs/05-migration-map-roadmap.md","8347","2026-07-23T21:00:52.3915354Z"
"docs/appendices/legacy-data-dictionary.md","112483","2026-07-23T20:49:48.9002119Z"
"docs/README.md","4008","2026-07-23T22:14:36.9200471Z"
"manifest/VALIDATIERAPPORT.md","1833","2026-07-23T22:20:10.9480734Z"
"README-OVERDRACHT.md","2866","2026-07-23T22:19:52.5502461Z"
"scripts/Install-LegacyUamDocumentationSchema.ps1","4634","2026-07-23T19:57:53.4269638Z"
"scripts/Invoke-UamReadOnlyBrowserWalkthrough.ps1","37308","2026-07-23T20:26:41.4618449Z"
"scripts/New-LegacyUamDataDictionary.ps1","18562","2026-07-23T20:48:46.9370241Z"
"scripts/New-UamDocumentationDiagrams.ps1","24082","2026-07-23T21:29:23.3252135Z"
"scripts/New-UamDocumentationPdfs.ps1","9674","2026-07-23T22:12:16.0738194Z"
"scripts/New-UamHandoverPackage.ps1","13224","2026-07-23T22:19:53.7359295Z"
"scripts/New-UamWalkthroughVideo.ps1","11951","2026-07-23T21:48:39.5693272Z"
"scripts/Test-UamDocumentationDeliverables.ps1","9386","2026-07-23T22:12:36.2825165Z"
"sources/legacy/README.md","972","2026-07-23T21:34:18.8297044Z"
"sources/legacy/uam.redacted.ps1","240087","2026-07-23T21:36:45.5455352Z"
"sources/README.md","1143","2026-07-23T22:10:39.6090908Z"
"uam-logging.ps1","105434","2026-07-10T18:27:47.9405312Z"
